touchV	touchLookY	fovH
0.5	0.18652576208115	60
2.5	0.18568070232868	59
5.5	0.18446010351181	58
10.5	0.18225353956223	56
16.5	0.17943653464317	54
22.5	0.17638485133648	52
27.5	0.17366167902946	50
37.5	0.16769927740097	47
48.5	0.15990583598614	43
63.5	0.14727672934532	38
75.5	0.13441289961338	35
87.5	0.12014060467482	31
101.5	0.10244108736515	27
107.5	0.093802466988564	26
116.5	0.079248636960983	24
128.5	0.057088997215033	21
136.5	0.042065795511007	20
137.5	0.039812259376049	19
138.5	0.037558734416962	19
139.5	0.035305198282003	19
140.5	0.0328638702631	19
141.5	0.030798140913248	19
142.5	0.028356837108731	19
143.5	0.025915512815118	19
144.5	0.023474195972085	19
152.5	0.0038495801854879	18
161.5	-0.017887514084578	18
172.5	-0.044225540012121	18
182.5	-0.066854640841484	19
193.5	-0.089295953512192	20
206.5	-0.11197203397751	23
222.5	-0.13657300174236	27
239.5	-0.15784062445164	32
244.5	-0.16281720995903	33
245.5	-0.16375620663166	34
246.5	-0.16469509899616	35
247.5	-0.16554021835327	35

